date,forecast
2025-08-01,263.23846
2025-08-02,262.9234
2025-08-03,262.72144
2025-08-04,262.62286
2025-08-05,262.58246
2025-08-06,262.59265
2025-08-07,262.62305
2025-08-08,262.66653
2025-08-09,262.73505
2025-08-10,262.7981
2025-08-11,262.85962
2025-08-12,262.92603
2025-08-13,262.9995
2025-08-14,263.07513
2025-08-15,263.13303
2025-08-16,263.19635
2025-08-17,263.2489
2025-08-18,263.30548
2025-08-19,263.36005
2025-08-20,263.40686
2025-08-21,263.4516
2025-08-22,263.48065
2025-08-23,263.5152
2025-08-24,263.56293
2025-08-25,263.60016
2025-08-26,263.63446
2025-08-27,263.6608
2025-08-28,263.6859
2025-08-29,263.71887
2025-08-30,263.74512
